first_name,last_name,image_link,spotify_link,yt_link,info,id,more_link
Giannis,Kalatzis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kalatzis.jpg
","https://open.spotify.com/artist/5rRlEHRXIXhMaFrnzeysmQ?autoplay=true
","https://www.youtube.com/channel/UCZ6gmXkDfaUJe_9mgVa9xrQ
",,singer,
Dimitris,Kalivokas,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kalivokas.jpg,,,,actor,
Giorgos,Kapoutzidis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kapoutzidis.jpg,,,,actor,
Tzeni,Karezi,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/karezi.jpg,,,,actor,
Smaragda,Karidi,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/karidi.jpg,,,,actor,
Vassilis,Karras,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/karras.jpg
","https://open.spotify.com/artist/4P4cATtI7ozt4k4oKho4uz
","https://www.youtube.com/@karrasvevo7104/featured
",,singer,
Alelfoi,Katsimicha,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/katsimicha.jpg
","https://open.spotify.com/artist/2OVFX90h8lDzPZ5L5Mu0Vz?autoplay=true
","https://www.youtube.com/channel/UCndx9WyAiMmCWOegs8ate8Q
",,singer,
Maria,Kavogianni,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kavogianni.jpg,,,,actor,
Panos,Kiamos,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kiamos.jpg
","https://open.spotify.com/artist/2EsTolBYIEICM1kx7MGluy
","https://www.youtube.com/@PanosKiamosOfficial
",,singer,
Vladimiros,Kiriakidis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kiriakidis.jpg,,,,actor,
Klavdia,,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/klavdia.jpg
","https://open.spotify.com/artist/4JRInaGyykK9dRIaymPxJq
","https://www.youtube.com/channel/UC3yDdZ7Qxy2ZyyKXTuotvvg
",,singer,
Eleni,Kokkidou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kokkidou.jpg,,,,actor,
Elli,Kokkinou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kokkinou.jpg
","https://open.spotify.com/artist/3dHMnH9LXTSuhfdcWfjnoc
","https://www.youtube.com/channel/UCUlIDkBWNcmxywkVqtSFDIw
",,singer,
Kostas,Koklas,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/koklas.jpg,,,,actor,
Stamatis,Kokotas,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kokotas.jpg
","https://open.spotify.com/artist/6RTaV5nZWyOxWWHkvDlrV4?autoplay=true
","https://www.youtube.com/channel/UCXTWDGjwhQsfRYz-ceqdFeQ
",,singer,
Elisavet,Konstantinidou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/konstantinidou.jpg,,,,actor,
Giorgos,Konstantinou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/konstantinou.jpg,,,,actor,
Maro,Kontou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kontou.jpg,,,,actor,
Labros,Kostantaras,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/kostantaras.jpg,,,,actor,
